Wavelength,Wavenumber,Epsilon
736.0,13586.4,7.89989E+04
737.3,13563.3,7.15112E+04
738.5,13540.3,6.42367E+04
739.8,13517.4,5.81642E+04
741.0,13494.5,5.20234E+04
742.3,13471.8,4.66448E+04
743.5,13449.1,4.17311E+04
744.8,13426.5,3.76154E+04
746.1,13403.9,3.34230E+04
747.3,13381.5,2.96828E+04
748.6,13359.1,2.63447E+04
749.8,13336.8,2.35520E+04
751.1,13314.5,2.08031E+04
752.3,13292.4,1.83363E+04
753.6,13270.3,1.65976E+04
754.8,13248.2,1.45392E+04
756.1,13226.3,1.28220E+04
757.3,13204.4,1.14252E+04
758.6,13182.6,9.94532E+03
759.8,13160.9,8.85518E+03
761.1,13139.2,8.06183E+03
762.3,13117.7,7.09252E+03
763.6,13096.1,6.45123E+03
764.8,13074.7,5.70128E+03
766.1,13053.3,4.91369E+03
767.3,13032.0,4.34274E+03
768.6,13010.8,3.92146E+03
769.8,12989.6,3.35692E+03
771.1,12968.5,3.08262E+03
772.4,12947.5,2.79817E+03
773.6,12926.5,2.49299E+03
774.9,12905.6,2.33227E+03
776.1,12884.8,1.70282E+03
777.4,12864.0,1.82760E+03
778.6,12843.4,1.70336E+03
779.9,12822.7,1.29525E+03
781.1,12802.2,1.24804E+03
782.4,12781.7,1.25730E+03
783.6,12761.2,9.48458E+02
784.9,12740.9,9.89000E+02
786.1,12720.6,1.08070E+03
787.4,12700.4,6.41252E+02
788.6,12680.2,7.73033E+02
789.9,12660.1,5.33417E+02
791.1,12640.0,4.68945E+02
792.4,12620.1,5.88669E+02
793.6,12600.1,5.75000E+02
794.9,12580.3,6.33421E+02
796.1,12560.5,6.38209E+02
797.4,12540.8,4.83313E+02
798.7,12521.1,3.03878E+02
799.9,12501.5,3.56437E+02
801.2,12482.0,7.57225E+01
802.4,12462.5,3.91579E+02
803.7,12443.1,3.33039E+02
804.9,12423.7,3.11641E+02
806.2,12404.4,2.12379E+02
807.4,12385.2,2.79953E+02
808.7,12366.0,3.85132E+01
809.9,12346.9,7.77353E+00
811.2,12327.8,1.00000E-20
812.4,12308.8,1.00000E-20
813.7,12289.8,1.00000E-20
814.9,12271.0,1.00000E-20
816.2,12252.1,1.00000E-20
817.4,12233.4,1.00000E-20
818.7,12214.6,1.00000E-20
819.9,12196.0,1.00000E-20
821.2,12177.4,1.00000E-20
822.4,12158.8,1.00000E-20
823.7,12140.4,1.00000E-20
825.0,12121.9,1.00000E-20
826.2,12103.5,1.00000E-20
827.5,12085.2,1.00000E-20
828.7,12067.0,1.00000E-20
830.0,12048.8,1.00000E-20
831.2,12030.6,1.00000E-20
832.5,12012.5,1.00000E-20
833.7,11994.5,1.00000E-20
835.0,11976.5,1.00000E-20
836.2,11958.5,1.00000E-20
837.5,11940.6,1.00000E-20
838.7,11922.8,1.00000E-20
840.0,11905.0,1.00000E-20
841.2,11887.3,1.00000E-20
842.5,11869.6,1.00000E-20
843.7,11852.0,1.00000E-20
845.0,11834.5,1.00000E-20
846.2,11816.9,1.00000E-20
847.5,11799.5,1.00000E-20
848.7,11782.1,1.00000E-20
850.0,11764.7,1.00000E-20
